fiscalYear,relId,periodId,grantId,metric,size,CIK,participantid,grantDate,startDate,endDate,companyName,percentVest,value,currentCEO,Detail_cleaned,AwardType_x,AwardType_y,awardType,outcome,payoutStructure
2017,520285,1.0,1408649,Other,1473418.0,867374,16033.0,2017-12-08,2018-01-08,2019-01-08,Electronics For Imaging INC,1.0,1473418.0,1.0,,rsu,rsu,Stock Award,,
2017,520285,2.0,1408649,Other,1473418.0,867374,16033.0,2017-12-08,2019-01-08,2020-01-08,Electronics For Imaging INC,1.0,1473418.0,1.0,,rsu,rsu,Stock Award,,
2017,520285,3.0,1408649,Other,1473418.0,867374,16033.0,2017-12-08,2020-01-08,2021-01-08,Electronics For Imaging INC,1.0,1473418.0,1.0,,rsu,rsu,Stock Award,,
2016,520352,1.0,1408684,Sales,2571321.0,867374,16033.0,2016-08-25,2016-12-25,2017-12-25,Electronics For Imaging INC,1.0,2571321.0,1.0,,rsu,rsu,Stock Award,,
2016,520352,2.0,1408684,Sales,2571321.0,867374,16033.0,2016-08-25,2017-12-25,2018-12-25,Electronics For Imaging INC,1.0,2571321.0,1.0,,rsu,rsu,Stock Award,,
2016,520352,3.0,1408684,Sales,2571321.0,867374,16033.0,2016-08-25,2018-12-25,2019-12-25,Electronics For Imaging INC,1.0,2571321.0,1.0,,rsu,rsu,Stock Award,,
2016,520350,1.0,1408685,Cashflow,1714158.0,867374,16033.0,2016-08-25,2016-12-25,2017-12-25,Electronics For Imaging INC,1.0,1714158.0,1.0,,rsu,rsu,Stock Award,,
2016,520350,2.0,1408685,Cashflow,1714158.0,867374,16033.0,2016-08-25,2017-12-25,2018-12-25,Electronics For Imaging INC,1.0,1714158.0,1.0,,rsu,rsu,Stock Award,,
2016,520350,3.0,1408685,Cashflow,1714158.0,867374,16033.0,2016-08-25,2018-12-25,2019-12-25,Electronics For Imaging INC,1.0,1714158.0,1.0,,rsu,rsu,Stock Award,,
2018,520426,1.0,1408745,Sales,663924.0,867374,208569.0,2018-11-08,2019-01-08,2020-01-08,Electronics For Imaging INC,1.0,663924.0,1.0,,rsu,rsu,Stock Award,,
2018,520426,2.0,1408745,Sales,663924.0,867374,208569.0,2018-11-08,2020-01-08,2021-01-08,Electronics For Imaging INC,1.0,663924.0,1.0,,rsu,rsu,Stock Award,,
2018,520426,3.0,1408745,Sales,663924.0,867374,208569.0,2018-11-08,2021-01-08,2022-01-08,Electronics For Imaging INC,1.0,663924.0,1.0,,rsu,rsu,Stock Award,,
2018,520421,1.0,1408746,Other,663924.0,867374,208569.0,2018-11-08,2019-01-08,2020-01-08,Electronics For Imaging INC,1.0,663924.0,1.0,,rsu,rsu,Stock Award,,
2018,520421,2.0,1408746,Other,663924.0,867374,208569.0,2018-11-08,2020-01-08,2021-01-08,Electronics For Imaging INC,1.0,663924.0,1.0,,rsu,rsu,Stock Award,,
2018,520421,3.0,1408746,Other,663924.0,867374,208569.0,2018-11-08,2021-01-08,2022-01-08,Electronics For Imaging INC,1.0,663924.0,1.0,,rsu,rsu,Stock Award,,
2016,522949,1.0,1410527,EBT,5940000.0,6201,77957.0,2016-04-20,2015-12-20,2018-12-20,American Airlines Group INC,1.0,5940000.0,1.0,,rsu,rsu,Stock Award,,
2016,523364,1.0,1410756,,5750003.0,1141391,93722.0,2016-03-01,2016-01-01,2019-01-01,Mastercard Incorporated,1.0,5750003.0,1.0,,rsu,rsu,Stock Award,,
2017,523991,1.0,1411127,Other,828493.0,1603923,24995.0,2017-04-24,2016-12-24,2017-12-24,Weatherford International Plc,1.0,828493.0,1.0,,cashShort,cashShort,Cash Award,,
2016,524017,1.0,1411152,Other,737713.8999999999,1603923,8366.0,2016-01-18,2016-01-18,2017-01-18,Weatherford International Plc,0.35,2107754.0,1.0,,cashShort,cashShort,Cash Award,,
2017,525927,1.0,1412232,Cashflow,6953250.0,882835,163137.0,2017-01-19,2016-12-19,2018-11-19,Roper Technologies INC,0.25,27813000.0,1.0,,rsu,rsu,Stock Award,,
2017,525927,2.0,1412232,Cashflow,6953250.0,882835,163137.0,2017-01-19,2016-12-19,2019-11-19,Roper Technologies INC,0.25,27813000.0,1.0,,rsu,rsu,Stock Award,,
2017,527871,1.0,1413338,,70005.7,882104,36729.0,2017-01-01,2017-01-01,2018-01-01,Pdl Biopharma INC,0.1,700057.0,1.0,,cashShort,cashShort,Cash Award,,
2016,528945,1.0,1414105,EPS,150000.0,88941,81222.0,2016-01-01,2016-01-01,2017-01-01,Semtech Corporation,0.2,750000.0,1.0,,cashShort,cashShort,Cash Award,,
2016,528946,1.0,1414105,Sales,150000.0,88941,81222.0,2016-01-01,2016-01-01,2017-01-01,Semtech Corporation,0.2,750000.0,1.0,,cashShort,cashShort,Cash Award,,
